Age group,Sex,Count
Under 18,Male ,307
Under 18,Female,152
18 - 29,Male ,712
18 - 29,Female,190
30 - 44,Male ,510
30 - 44,Female,175
45 - 59,Male ,224
45 - 59,Female,67
60 & above,Male ,99
60 & above,Female,32
